"No.","Time","Source IP","Destination IP","Source Port","Destination Port","Protocol","ICMP type","Length","Flags"
"172","24.738044000","","","","","QUIC","","99",""
"173","24.738130000","","","","","QUIC","","85",""
"174","24.739156000","","","","","QUIC","","182",""
"175","24.739480000","192.168.1.5","13.67.9.5","53947","443","TCP","","66","0x0002"
"176","24.739911000","","","","","QUIC","","95",""
"177","24.742064000","","","","","QUIC","","87",""
"178","24.743818000","","","","","QUIC","","89",""
"179","24.796210000","13.67.9.5","192.168.1.5","443","53947","TCP","","66","0x0012"
"180","24.796536000","192.168.1.5","13.67.9.5","53947","443","TCP","","54","0x0010"
"181","24.799673000","192.168.1.5","13.67.9.5","53947","443","TLSv1","","1889","0x0018"
"182","24.859027000","13.67.9.5","192.168.1.5","443","53947","TCP","","54","0x0010"
"183","24.859027000","13.67.9.5","192.168.1.5","443","53947","TLSv1.3","","153","0x0018"
"184","24.862070000","192.168.1.5","13.67.9.5","53947","443","TLSv1.3","","735","0x0018"
"185","24.924743000","13.67.9.5","192.168.1.5","443","53947","TLSv1.3","","1466","0x0010"
"186","24.924743000","13.67.9.5","192.168.1.5","443","53947","TCP","","1466","0x0010"
"187","24.924743000","13.67.9.5","192.168.1.5","443","53947","TCP","","1466","0x0010"
"188","24.924743000","13.67.9.5","192.168.1.5","443","53947","TCP","","1466","0x0010"
"189","24.924743000","13.67.9.5","192.168.1.5","443","53947","TLSv1.3","","464","0x0018"
"190","24.925279000","192.168.1.5","13.67.9.5","53947","443","TCP","","54","0x0010"
"191","24.925477000","192.168.1.5","13.67.9.5","53947","443","TCP","","54","0x0010"
"192","24.933584000","192.168.1.5","13.67.9.5","53947","443","TLSv1.3","","128","0x0018"
"193","24.933850000","192.168.1.5","13.67.9.5","53947","443","TLSv1.3","","880","0x0018"
"194","25.010743000","13.67.9.5","192.168.1.5","443","53947","TCP","","54","0x0010"
"195","25.010743000","13.67.9.5","192.168.1.5","443","53947","TLSv1.3","","157","0x0018"
"196","25.026056000","13.67.9.5","192.168.1.5","443","53947","TLSv1.3","","432","0x0018"
"197","25.026197000","192.168.1.5","13.67.9.5","53947","443","TCP","","54","0x0010"
"198","25.194710000","","","53508","443","TLSv1.2","","105","0x0018"
"199","25.221224000","","","443","53508","TCP","","74","0x0010"
"200","25.353801000","","","","","ARP","","60",""
"201","25.353825000","","","","","ARP","","42",""
"202","25.356738000","","","","","ICMPv6","","86",""
"203","25.356785000","","","","","ICMPv6","","86",""
"204","25.359008000","","","","","ICMPv6","","86",""
"205","25.359043000","","","","","ICMPv6","","86",""
"206","25.361419000","","","","","ICMPv6","","86",""
"207","25.361453000","","","","","ICMPv6","","86",""
"208","26.282586000","","","443","53464","TLSv1.2","","101","0x0018"
"209","26.324998000","","","53464","443","TCP","","74","0x0010"
"210","26.559064000","170.72.239.210","192.168.1.5","443","53518","TLSv1.2","","91","0x0018"
"211","26.559923000","192.168.1.5","170.72.239.210","53518","443","TLSv1.2","","82","0x0018"
"212","26.826397000","170.72.239.210","192.168.1.5","443","53518","TCP","","54","0x0010"
"213","26.826590000","192.168.1.5","170.72.239.210","53518","443","TLSv1.2","","89","0x0018"
"214","27.093400000","170.72.239.210","192.168.1.5","443","53518","TCP","","54","0x0010"
"215","27.107656000","","","53912","443","TCP","","74","0x0011"
"216","27.117400000","","","443","53912","TCP","","74","0x0011"
"217","27.117594000","","","53912","443","TCP","","74","0x0010"
"218","27.361501000","","","","","QUIC","","277",""
"219","27.361614000","","","","","QUIC","","273",""
"220","27.361720000","","","","","QUIC","","274",""
"221","27.370433000","","","","","QUIC","","94",""
"222","27.373110000","","","","","QUIC","","655",""
"223","27.373110000","","","","","QUIC","","84",""
"224","27.373110000","","","","","QUIC","","590",""
"225","27.373110000","","","","","QUIC","","84",""
"226","27.373110000","","","","","QUIC","","570",""
"227","27.373110000","","","","","QUIC","","84",""
"228","27.374403000","","","","","QUIC","","97",""
"229","27.374496000","","","","","QUIC","","97",""
"230","27.374699000","","","","","QUIC","","97",""
"231","27.376166000","192.168.1.5","13.89.178.27","53948","443","TCP","","66","0x0002"
"232","27.381464000","","","","","QUIC","","85",""
"233","27.402394000","","","","","QUIC","","94",""
"234","27.406698000","","","","","QUIC","","86",""
"235","27.409792000","","","","","QUIC","","84",""
"236","27.410707000","","","","","QUIC","","95",""
"237","27.604323000","13.89.178.27","192.168.1.5","443","53948","TCP","","66","0x0012"
"238","27.604503000","192.168.1.5","13.89.178.27","53948","443","TCP","","54","0x0010"
"239","27.606154000","192.168.1.5","13.89.178.27","53948","443","TLSv1","","1987","0x0018"
"240","27.827645000","13.89.178.27","192.168.1.5","443","53948","TCP","","54","0x0010"
"241","27.827645000","13.89.178.27","192.168.1.5","443","53948","TLSv1.3","","153","0x0018"
"242","27.830028000","192.168.1.5","13.89.178.27","53948","443","TLSv1.3","","833","0x0018"
"243","28.061928000","13.89.178.27","192.168.1.5","443","53948","TLSv1.3","","1466","0x0010"
"244","28.061928000","13.89.178.27","192.168.1.5","443","53948","TCP","","1466","0x0010"
"245","28.062154000","192.168.1.5","13.89.178.27","53948","443","TCP","","54","0x0010"
"246","28.063058000","13.89.178.27","192.168.1.5","443","53948","TCP","","1466","0x0010"
"247","28.063058000","13.89.178.27","192.168.1.5","443","300 packets captured"
"53948","TCP","","1466","0x0010"
